#{"t_start": 1568274844.1745129, "env_id": null}
r,l,t
-20.0,1,2728.482339
135.523224,22,2731.416403
268.351957,45,2736.677634
752.209134,121,2750.555402
104.714717,19,2753.10597
108.699786,24,2756.568955
244.95117,41,2761.078035
567.252448,102,2772.019983
535.966179,76,2782.876532
303.695036,52,2788.628362
356.237014,51,2795.615948
332.950794,59,2802.55954
91.628668,21,2805.953302
93.8178,21,2809.177078
412.126325,62,2817.195865
373.358983,60,2824.302084
565.676525,98,2835.690102
75.655256,19,2839.051877
-20.0,1,2839.179908
306.173568,57,2845.713832
349.427127,57,2853.06608
431.463055,74,2863.065495
147.337888,31,2867.987732
394.96119,57,2874.474057
672.972375,129,2889.886774
88.466947,19,2893.081651
105.518831,25,2897.052615
117.880981,21,2900.15448
149.596763,32,2904.854795
188.225551,30,2909.026014
94.125866,21,2912.221318
349.29081,64,2919.499644
715.373578,121,2935.414224
255.914466,44,2940.475011
260.061509,52,2946.537358
149.190437,30,2951.12161
142.405932,27,2955.286571
521.889553,97,2966.004652
328.244197,60,2972.81363
138.574541,30,2977.69907
404.730109,66,2987.528326
749.853462,116,3002.083166
131.243487,29,3006.568517
558.597338,107,3018.747464
812.697719,110,3032.679838
91.101409,15,3035.280997
212.081831,37,3039.570484
195.304215,36,3044.032339
161.854732,31,3048.768492
166.834842,25,3051.870247
315.591106,48,3057.377902
128.749607,30,3061.977934
118.472576,30,3066.681221
94.673882,17,3069.395312
136.634164,32,3074.093679
116.114,22,3077.521633
139.89962,31,3082.196739
215.153296,33,3086.744978
430.724183,73,3096.128422
110.613476,22,3099.428188
136.944046,27,3103.500141
113.105097,27,3107.50115
312.710541,55,3113.903666
84.258419,19,3116.831382
620.914739,124,3132.148179
506.80067,96,3142.812827
231.657735,46,3147.987075
136.259252,28,3152.473178
189.056362,34,3157.450649
721.00617,125,3173.257808
89.266964,21,3176.673584
531.081482,99,3188.012866
177.403029,31,3192.799805
88.290249,21,3196.274593
78.769982,19,3199.346288
125.265852,29,3203.501228
227.800732,38,3207.832207
129.902147,28,3211.629447
401.856904,68,3220.542329
181.451681,33,3225.171241
137.083153,32,3229.76928
260.509132,41,3235.41956
255.079577,51,3241.566979
477.905494,96,3253.514682
583.370195,96,3265.80413
128.804561,29,3270.48402
299.455313,59,3277.13254
217.15148,39,3282.518002
138.101472,31,3286.756305
172.120482,36,3291.298304
510.747348,81,3300.697546
121.093306,26,3304.068712
206.725459,43,3309.459936
343.659217,57,3315.608722
208.452927,42,3321.024709
163.130416,34,3325.453505
124.459638,24,3328.673234
245.536884,39,3333.575405
171.548736,37,3338.68785
-20.0,1,3338.797874
146.17967,24,3341.998793
814.376275,135,3357.560244
112.971969,24,3360.668255
113.466024,25,3364.047311
228.147101,38,3368.237394
154.956051,30,3372.313526
110.361644,24,3375.706919
138.230846,31,3379.844138
133.447876,27,3383.378959
104.676041,22,3386.48471
799.945646,143,3402.185226
102.132164,23,3405.472052
844.228666,140,3420.811536
375.899098,59,3427.235218
87.728584,20,3430.171421
636.015736,104,3441.660764
177.062441,39,3446.711133
338.339625,50,3452.320394
155.95856,28,3456.015229
357.016733,56,3462.776846
371.820108,68,3470.97169
645.879597,124,3486.879095
119.603739,27,3491.024017
110.305561,25,3495.076944
151.446071,33,3500.000391
437.658795,71,3509.706749
-20.0,1,3509.823775
88.629721,17,3512.365593
611.795489,116,3526.322794
408.150374,59,3534.221068
776.605853,131,3549.897137
496.15269,94,3560.483624
71.210784,18,3563.830645
286.978698,47,3569.526834
707.36563,135,3587.457121
88.211747,20,3590.614895
348.539209,66,3599.874357
503.359434,91,3610.746305
110.510367,23,3614.68233
110.304592,26,3619.094358
302.180806,65,3628.648563
99.103459,20,3631.835279
144.795974,29,3636.060604
98.730488,21,3639.478404
261.483249,49,3645.042888
95.72776,20,3648.122617
220.298946,36,3652.375662
578.207844,109,3667.252862
346.575996,61,3674.22289
130.326375,29,3678.661144
530.790377,83,3689.836277
